IR,RED,beat_event
35316.0,25790.0,0
35314.0,25794.0,0
35304.0,25801.0,0
35320.0,25800.0,0
35317.0,25807.0,0
35304.0,25799.0,0
35319.0,25812.0,0
35320.0,25807.0,0
35309.0,25810.0,0
35321.0,25817.0,0
35321.0,25808.0,0
35327.0,25812.0,0
35302.0,25818.0,0
35306.0,25813.0,0
35302.0,25816.0,0
35298.0,25816.0,0
35303.0,25814.0,0
35313.0,25804.0,0
35289.0,25812.0,0
35296.0,25814.0,0
35296.0,25798.0,0
35286.0,25816.0,0
35286.0,25817.0,0
35298.0,25809.0,0
35285.0,25798.0,0
35285.0,25787.0,0
35274.0,25802.0,0
35283.0,25795.0,0
35278.0,25794.0,0
35296.0,25791.0,0
35295.0,25802.0,0
35291.0,25807.0,0
35298.0,25797.0,0
35281.0,25801.0,0
35276.0,25800.0,0
35286.0,25800.0,0
35269.0,25787.0,0
35256.0,25787.0,0
35265.0,25783.0,0
35274.0,25791.0,0
35256.0,25781.0,0
35270.0,25783.0,0
35257.0,25774.0,0
35265.0,25774.0,0
35248.0,25763.0,0
35236.0,25763.0,0
35242.0,25756.0,0
35221.0,25742.0,0
35241.0,25740.0,0
35238.0,25750.0,0
35248.0,25762.0,0
35255.0,25756.0,0
35242.0,25765.0,0
35254.0,25770.0,0
35255.0,25752.0,0
35237.0,25771.0,0
35238.0,25760.0,0
35224.0,25760.0,0
35240.0,25752.0,0
35228.0,25753.0,0
35228.0,25746.0,0
35222.0,25741.0,0
35219.0,25748.0,0
35200.0,25739.0,0
35184.0,25726.0,0
35186.0,25716.0,0
35184.0,25707.0,0
35165.0,25694.0,0
35147.0,25678.0,0
35149.0,25670.0,0
35120.0,25661.0,0
35129.0,25649.0,0
35135.0,25650.0,0
35118.0,25649.0,0
35108.0,25631.0,0
35126.0,25634.0,0
35108.0,25643.0,0
35113.0,25638.0,0
35120.0,25643.0,0
35122.0,25633.0,0
35120.0,25646.0,0
35121.0,25650.0,0
35134.0,25653.0,0
35143.0,25657.0,0
35131.0,25672.0,0
35142.0,25673.0,0
35131.0,25689.0,0
35137.0,25698.0,0
35146.0,25682.0,0
35140.0,25694.0,0
35129.0,25676.0,0
35128.0,25671.0,0
35115.0,25690.0,0
35103.0,25667.0,0
35093.0,25662.0,0
35086.0,25641.0,0
