IR,RED,beat_event
637.0,574.0,0
683.0,621.0,0
738.0,678.0,0
796.0,739.0,0
870.0,816.0,0
929.0,874.0,0
978.0,935.0,0
1013.0,988.0,0
1039.0,1014.0,0
1039.0,1041.0,0
1028.0,1033.0,0
1015.0,1010.0,0
992.0,968.0,0
966.0,935.0,0
949.0,898.0,0
928.0,861.0,0
918.0,835.0,0
897.0,816.0,0
893.0,825.0,0
1068.0,836.0,0
1098.0,878.0,0
1172.0,937.0,0
1265.0,1025.0,0
1395.0,1130.0,0
1561.0,1280.0,0
1728.0,1424.0,0
1910.0,1591.0,0
2065.0,1742.0,0
2158.0,1856.0,0
2198.0,1924.0,0
2164.0,1927.0,0
2071.0,1856.0,0
1932.0,1738.0,0
1779.0,1593.0,0
1631.0,1436.0,0
1487.0,1292.0,0
1378.0,1157.0,0
1276.0,1052.0,0
1199.0,962.0,0
1142.0,910.0,0
1096.0,860.0,0
1079.0,838.0,0
1086.0,841.0,0
1125.0,876.0,0
1198.0,925.0,0
1296.0,1001.0,0
1411.0,1102.0,0
1548.0,1223.0,0
1686.0,1360.0,0
1806.0,1489.0,0
1878.0,1593.0,0
1883.0,1648.0,0
1836.0,1636.0,0
1731.0,1560.0,0
1590.0,1436.0,0
1442.0,1295.0,0
1309.0,1138.0,0
1184.0,1005.0,0
1094.0,893.0,0
1016.0,806.0,0
963.0,733.0,0
908.0,694.0,0
893.0,664.0,0
893.0,658.0,0
916.0,673.0,0
959.0,716.0,0
1035.0,780.0,0
1135.0,857.0,0
1431.0,959.0,0
1567.0,1066.0,0
1704.0,1191.0,0
1817.0,1291.0,0
1871.0,1381.0,0
1865.0,1403.0,0
1790.0,1379.0,0
1658.0,1293.0,0
1509.0,1180.0,0
1360.0,1045.0,0
1227.0,918.0,0
1107.0,808.0,0
1030.0,725.0,0
971.0,651.0,0
920.0,602.0,0
903.0,566.0,0
908.0,562.0,0
938.0,583.0,0
1005.0,613.0,0
1117.0,680.0,0
1261.0,778.0,0
1454.0,916.0,0
1682.0,1090.0,0
1929.0,1312.0,0
2177.0,1552.0,0
2397.0,1784.0,0
2509.0,1951.0,0
2502.0,2022.0,0
2396.0,1983.0,0
2218.0,1839.0,0
2028.0,1641.0,0
1840.0,1447.0,0
1706.0,1277.0,0
1602.0,1146.0,0
1538.0,1049.0,0
1507.0,991.0,0
1520.0,974.0,0
1581.0,1002.0,0
1724.0,1093.0,0
1922.0,1236.0,0
2244.0,1456.0,0
2685.0,1783.0,0
3279.0,2224.0,0
4061.0,2823.0,0
5062.0,3604.0,0
6294.0,4580.0,0
7694.0,5729.0,0
9132.0,6907.0,0
10449.0,8001.0,0
11377.0,8821.0,0
12183.0,9238.0,0
12527.0,9457.0,0
12776.0,9535.0,0
12933.0,9600.0,0
13192.0,9655.0,0
13449.0,9819.0,0
14064.0,10141.0,0
14694.0,10615.0,0
15435.0,11209.0,0
16155.0,11835.0,0
17031.0,12699.0,0
17833.0,13358.0,0
18555.0,13894.0,0
19397.0,14424.0,0
20278.0,15015.0,0
21246.0,15696.0,0
22425.0,16519.0,0
23868.0,17494.0,0
25483.0,18691.0,0
27201.0,19987.0,0
28902.0,21244.0,0
30684.0,22413.0,0
32092.0,23524.0,0
33175.0,24454.0,0
34073.0,25098.0,0
35176.0,25788.0,0
36661.0,26699.0,0
39004.0,27986.0,0
41258.0,29826.0,0
43451.0,31472.0,0
45512.0,32925.0,0
47593.0,34132.0,0
49353.0,35313.0,0
51014.0,36476.0,0
52197.0,37670.0,0
53190.0,38341.0,0
54144.0,39001.0,0
55436.0,39864.0,0
56876.0,40992.0,0
58248.0,42111.0,0
60122.0,43280.0,0
62905.0,44878.0,0
65535.0,47148.0,0
65535.0,49319.0,0
65535.0,51662.0,0
65535.0,54260.0,0
65535.0,56992.0,0
65535.0,60459.0,0
